strain	virus	gisaid_epi_isl	genbank_accession	date	region	country	division	location	region_exposure	country_exposure	division_exposure	segment	length	host	age	sex	Nextstrain_clade	pangolin_lineage	GISAID_clade	originating_lab	submitting_lab	authors	url	title	paper_url	date_submitted	purpose_of_sequencing
hCoV-19/USA/OR-OSPHL04769/2022	betacoronavirus	EPI_ISL_9812100	?	1/25/22	North America	USA	Oregon	Multnomah County	North America	USA	Oregon	genome	29785	Human	87	Male	?	BA.1	GRA	Oregon State Public Health Laboratory	Oregon State Public Health Laboratory	"Rafia Razzaque, Eugene Yeboah, Vanda Makris, Laura Tsaknaridis, John Fontana and Shane Sevey"	https://www.gisaid.org/	?	?	2/12/22	?
hCoV-19/USA/OR-OSPHL04770/2022	betacoronavirus	EPI_ISL_9812101	?	1/25/22	North America	USA	Oregon	Multnomah County	North America	USA	Oregon	genome	29723	Human	31	Male	?	BA.1	GRA	Oregon State Public Health Laboratory	Oregon State Public Health Laboratory	"Rafia Razzaque, Eugene Yeboah, Vanda Makris, Laura Tsaknaridis, John Fontana and Shane Sevey"	https://www.gisaid.org/	?	?	2/12/22	?
hCoV-19/USA/OR-OSPHL04771/2022	betacoronavirus	EPI_ISL_9812102	?	1/27/22	North America	USA	Oregon		North America	USA	Oregon	genome	29785	Human	89	unknown	?	BA.1	GRA	Oregon State Public Health Laboratory	Oregon State Public Health Laboratory	"Rafia Razzaque, Eugene Yeboah, Vanda Makris, Laura Tsaknaridis, John Fontana and Shane Sevey"	https://www.gisaid.org/	?	?	2/12/22	?
hCoV-19/USA/OR-OSPHL04774/2022	betacoronavirus	EPI_ISL_9812103	?	1/27/22	North America	USA	Oregon	Multnomah County	North America	USA	Oregon	genome	29785	Human	34	Female	?	BA.1	GRA	Oregon State Public Health Laboratory	Oregon State Public Health Laboratory	"Rafia Razzaque, Eugene Yeboah, Vanda Makris, Laura Tsaknaridis, John Fontana and Shane Sevey"	https://www.gisaid.org/	?	?	2/12/22	?
hCoV-19/USA/OR-OSPHL04782/2022	betacoronavirus	EPI_ISL_9812104	?	1/22/22	North America	USA	Oregon		North America	USA	Oregon	genome	29779	Human	18	Female	?	BA.1	GRA	Oregon State Public Health Laboratory	Oregon State Public Health Laboratory	"Rafia Razzaque, Eugene Yeboah, Vanda Makris, Laura Tsaknaridis, John Fontana and Shane Sevey"	https://www.gisaid.org/	?	?	2/12/22	?
hCoV-19/USA/OR-OSPHL04786/2022	betacoronavirus	EPI_ISL_9812105	?	1/28/22	North America	USA	Oregon	Linn County	North America	USA	Oregon	genome	29785	Human	23	Female	?	BA.1	GRA	Oregon State Public Health Laboratory	Oregon State Public Health Laboratory	"Rafia Razzaque, Eugene Yeboah, Vanda Makris, Laura Tsaknaridis, John Fontana and Shane Sevey"	https://www.gisaid.org/	?	?	2/12/22	?
hCoV-19/USA/OR-OSPHL04787/2022	betacoronavirus	EPI_ISL_9812106	?	1/28/22	North America	USA	Oregon	Yamhill County	North America	USA	Oregon	genome	29779	Human	37	Male	?	BA.1	GRA	Oregon State Public Health Laboratory	Oregon State Public Health Laboratory	"Rafia Razzaque, Eugene Yeboah, Vanda Makris, Laura Tsaknaridis, John Fontana and Shane Sevey"	https://www.gisaid.org/	?	?	2/12/22	?
hCoV-19/USA/OR-OSPHL04788/2022	betacoronavirus	EPI_ISL_9812107	?	1/26/22	North America	USA	Oregon	Lincoln County	North America	USA	Oregon	genome	29785	Human	21	Female	?	BA.1	GRA	Oregon State Public Health Laboratory	Oregon State Public Health Laboratory	"Rafia Razzaque, Eugene Yeboah, Vanda Makris, Laura Tsaknaridis, John Fontana and Shane Sevey"	https://www.gisaid.org/	?	?	2/12/22	?
hCoV-19/USA/OR-OSPHL04789/2022	betacoronavirus	EPI_ISL_9812108	?	1/27/22	North America	USA	Oregon	Multnomah County	North America	USA	Oregon	genome	29723	Human	62	Male	?	BA.1	GRA	Oregon State Public Health Laboratory	Oregon State Public Health Laboratory	"Rafia Razzaque, Eugene Yeboah, Vanda Makris, Laura Tsaknaridis, John Fontana and Shane Sevey"	https://www.gisaid.org/	?	?	2/12/22	?
hCoV-19/USA/OR-OSPHL04790/2022	betacoronavirus	EPI_ISL_9812109	?	1/26/22	North America	USA	Oregon		North America	USA	Oregon	genome	29779	Human	25	unknown	?	BA.1	GRA	Oregon State Public Health Laboratory	Oregon State Public Health Laboratory	"Rafia Razzaque, Eugene Yeboah, Vanda Makris, Laura Tsaknaridis, John Fontana and Shane Sevey"	https://www.gisaid.org/	?	?	2/12/22	?
